"Year","Month","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha","deltaC"
1,14952,0.0897826094079867,4.29731555964035,0.570494775214605,20.8083214910223,3.0041,28.7700144352853,0,-113.59450660502
1939,12,0.0724038202079494,4.14771706544574,0.550639033023254,20.7830876552811,3.0041,28.5579475739581,1.6763668613272,-115.121503645875
1940,12,0.0824629676926453,3.88077206852276,0.511155509553361,20.7319675764192,3.0041,28.210458122188,2.59475631309726,-116.769346394324
1941,12,0.126159022928287,3.78433629935956,0.494921103314396,20.6876533290199,3.0041,28.0971697546222,4.03464468066308,-117.759918743193
1942,12,0.0308827590372034,3.61586996362591,0.482601330668718,20.6467525505144,3.0041,27.7802066038462,5.48930783143907,-119.37019158725
1943,12,0.126808618110228,3.47655835321876,0.456137598604798,20.5758019807285,3.0041,27.6394065506623,6.77240788462295,-120.355684051729
1944,12,0.0660206303226624,3.44895238921479,0.461145845253314,20.5397398884838,3.0041,27.5199587532746,8.25335568201065,-121.210706903456
1945,12,0.0692220598852114,3.25933083507079,0.434730319241474,20.476748546102,3.0041,27.2441317602995,9.16908267498579,-122.876248235526
1946,12,0.12109907723059,3.08931911521811,0.409554308559207,20.3764765486914,3.0041,27.0005490496993,10.5681653855859,-124.727851315502
1947,12,0.0252468519919113,3.05052134464014,0.415937013252835,20.3354866842891,3.0041,26.8312918941739,11.7988225411113,-125.994390820047
1948,12,0.136409570183315,2.98372623222523,0.399157020499469,20.2253920599927,3.0041,26.7487848829007,13.3652295523846,-127.281335430399
1949,12,0.0457343696181805,3.22769926573487,0.445446268689944,20.2210282762764,3.0041,26.9440081803194,15.1442062549658,-127.452233751465
1950,12,0.374891753361877,3.72722920717233,0.481351813198493,20.2231860574058,3.0041,27.8107588311385,16.8972556041468,-124.791746938275
1951,12,0.11189549395231,3.58803971356731,0.483734304444003,20.1993711908902,3.0041,27.3871407028539,18.5907737324314,-126.433885302361
1952,12,0.0699207270664857,3.43611732779569,0.465049770994602,20.1451598256863,3.0041,27.120347651543,20.0319667837422,-127.584491362835
1953,12,0.0979191527355698,3.31193203149713,0.44498233851248,20.0724719199415,3.0041,26.9314054426866,21.5742089925986,-128.501750531535
1954,12,0.0549680442611797,3.51261918169948,0.479026851713311,20.0690476841618,3.0041,27.1197617618357,23.4769526734495,-127.905238755039
1955,12,0.391125053050474,4.31468255497128,0.555463354161626,20.1493000864347,3.0041,28.414671048618,25.2040433866672,-122.253495569952
1956,12,0.981326026378165,4.64566220694149,0.539018500116015,20.1325357252836,3.0041,29.3026424587192,26.913871976566,-116.636396408155
1957,12,0.0484729089514802,4.45047198661446,0.597890095586825,20.2248371797545,3.0041,28.3257721709072,29.699442264378,-118.017143884648
1958,12,0.123723533018254,4.1294701650114,0.542579748385596,20.1697382307171,3.0041,27.9696116771324,31.3695027581529,-115.376596684087
1959,12,0.0611664806244616,4.29700651691305,0.572323254524636,20.2087974367112,3.0041,28.1433936887734,33.2247207465119,-106.560215723924
1960,12,0.283878238886653,4.60870349783467,0.591798051421276,20.2446442306552,3.0041,28.7331240187978,35.2291904164875,-95.5142325514073
1961,12,1.24588111636958,4.90140494625846,0.536647645151101,20.1932480762788,3.0041,29.8812817840579,36.6782326512273,-75.8905105859711
1962,12,0.0792432847329275,4.86075442272835,0.64226792721253,20.346631885904,3.0041,28.9329975205778,39.5997169147074,-77.7457155782163
1963,12,0.0854292926095106,4.5227889017601,0.59181996131719,20.3161704356193,3.0041,28.5203085913061,40.9931058439791,-65.1206427268601
1964,12,0.0815665138843389,4.64174323111408,0.610071137382999,20.3544947687346,3.0041,28.691975651116,42.8504387841692,-36.1929473616316
1965,12,0.444257694636975,5.30528607104916,0.664823652930786,20.4483922364272,3.0041,29.8668596550441,45.1986547802412,12.5627770084467
1966,12,1.00941035587836,5.32237324634531,0.608344881085523,20.4316036200954,3.0041,30.3758321034046,47.2896823318807,39.3077855585446
1967,12,0.0523294168684537,5.09803481702201,0.668726510948937,20.5551038143716,3.0041,29.378294559211,50.2270198760742,25.8101912161552
1968,12,0.110204399617467,4.56667170786973,0.589563568108956,20.5002866981501,3.0041,28.7708263737462,52.2192880615391,21.3952158141208
1969,12,0.0810386176583429,4.68826158274906,0.611460015820669,20.5419307750466,3.0041,28.9267909912747,54.0923234440106,27.5367187660556
1970,12,0.29183563554699,5.12698101122816,0.650842778158372,20.6121404208162,3.0041,29.6858998457497,55.9530145895356,41.2943375914803
