"","year","month","modern","Tmp","Rain","Evap","C_inp","FYM","PC","DPM_RPM"
"86",2027,2,100,3.05,46.74,0.83,0,0,1,1.44
"87",2027,3,100,6,48.39,1.73,0,0,1,1.44
"88",2027,4,100,9.8,36.47,3.03,0,0,1,1.44
"89",2027,5,100,13.16,62.3,3.82,0,0,1,1.44
"90",2027,6,100,16.29,56.5,4.44,0,0,1,1.44
"91",2027,7,100,18.28,66.59,4.65,0,0,1,1.44
"92",2027,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"93",2027,9,100,14.43,45.91,2.34,0,0,0,1.44
"94",2027,10,100,11.08,58.98,1.25,0,0,1,1.44
"95",2027,11,100,6.75,54.73,0.69,0,0,1,1.44
"96",2027,12,100,3.83,67.75,0.5,0,0,1,1.44
"97",2028,1,100,2.88,54.82,0.57,0,0,1,1.44
"98",2028,2,100,3.05,46.74,0.83,0,0,1,1.44
"99",2028,3,100,6,48.39,1.73,0,0,1,1.44
"100",2028,4,100,9.8,36.47,3.03,0,0,1,1.44
"101",2028,5,100,13.16,62.3,3.82,0,0,1,1.44
"102",2028,6,100,16.29,56.5,4.44,0,0,1,1.44
"103",2028,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"104",2028,8,100,17.18,76.22,3.49,0,0,1,1.44
"105",2028,9,100,14.43,45.91,2.34,0,0,1,1.44
"106",2028,10,100,11.08,58.98,1.25,0,0,1,1.44
"107",2028,11,100,6.75,54.73,0.69,0,0,1,1.44
"108",2028,12,100,3.83,67.75,0.5,0,0,1,1.44
"109",2029,1,100,2.88,54.82,0.57,0,0,1,1.44
"110",2029,2,100,3.05,46.74,0.83,0,0,1,1.44
"111",2029,3,100,6,48.39,1.73,1.12,0,1,1.44
"112",2029,4,100,9.8,36.47,3.03,0,0,1,1.44
"113",2029,5,100,13.16,62.3,3.82,0,0,1,1.44
"114",2029,6,100,16.29,86.5,4.44,0,0,1,1.44
"115",2029,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"116",2029,8,100,17.18,106.22,3.49,0,0,1,1.44
"117",2029,9,100,14.43,45.91,2.34,0,0,1,1.44
"118",2029,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"119",2029,11,100,6.75,54.73,0.69,0,0,1,1.44
"120",2029,12,100,3.83,67.75,0.5,0,0,1,1.44
"121",2030,1,100,2.88,54.82,0.57,0,0,1,1.44
"122",2030,2,100,3.05,46.74,0.83,0,0,1,1.44
"123",2030,3,100,6,48.39,1.73,0,0,1,1.44
"124",2030,4,100,9.8,36.47,3.03,0,0,1,1.44
"125",2030,5,100,13.16,62.3,3.82,0,0,1,1.44
"126",2030,6,100,16.29,56.5,4.44,0,0,1,1.44
"127",2030,7,100,18.28,66.59,4.65,0,0,1,1.44
"128",2030,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"129",2030,9,100,14.43,45.91,2.34,0,0,0,1.44
"130",2030,10,100,11.08,58.98,1.25,0,0,1,1.44
"131",2030,11,100,6.75,54.73,0.69,0,0,1,1.44
"132",2030,12,100,3.83,67.75,0.5,0,0,1,1.44
"133",2031,1,100,2.88,54.82,0.57,0,0,1,1.44
"134",2031,2,100,3.05,46.74,0.83,0,0,1,1.44
"135",2031,3,100,6,48.39,1.73,0,0,1,1.44
"136",2031,4,100,9.8,36.47,3.03,0,0,1,1.44
"137",2031,5,100,13.16,62.3,3.82,0,0,1,1.44
"138",2031,6,100,16.29,56.5,4.44,0,0,1,1.44
"139",2031,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"140",2031,8,100,17.18,76.22,3.49,0,0,1,1.44
"141",2031,9,100,14.43,45.91,2.34,0,0,1,1.44
"142",2031,10,100,11.08,58.98,1.25,0,0,1,1.44
"143",2031,11,100,6.75,54.73,0.69,0,0,1,1.44
"144",2031,12,100,3.83,67.75,0.5,0,0,1,1.44
"145",2032,1,100,2.88,54.82,0.57,0,0,1,1.44
"146",2032,2,100,3.05,46.74,0.83,0,0,1,1.44
"147",2032,3,100,6,48.39,1.73,1.12,0,1,1.44
"148",2032,4,100,9.8,36.47,3.03,0,0,1,1.44
"149",2032,5,100,13.16,62.3,3.82,0,0,1,1.44
"150",2032,6,100,16.29,86.5,4.44,0,0,1,1.44
"151",2032,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"152",2032,8,100,17.18,106.22,3.49,0,0,1,1.44
"153",2032,9,100,14.43,45.91,2.34,0,0,1,1.44
"154",2032,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"155",2032,11,100,6.75,54.73,0.69,0,0,1,1.44
"156",2032,12,100,3.83,67.75,0.5,0,0,1,1.44
"157",2033,1,100,2.88,54.82,0.57,0,0,1,1.44
"158",2033,2,100,3.05,46.74,0.83,0,0,1,1.44
"159",2033,3,100,6,48.39,1.73,0,0,1,1.44
"160",2033,4,100,9.8,36.47,3.03,0,0,1,1.44
"161",2033,5,100,13.16,62.3,3.82,0,0,1,1.44
