"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
2018,1,0,0,3.38,0.354534878846153,59.58,0.57,0,1,1,0.6,0.668768418793917,9.54593400631972,1.15695121849292,45.681533919493,3.0041,60.0572875630995,0.166624754905236
2018,2,0,0,4.29,0.431296337046394,52.92,0.83,0,1,1,0.6,0.539039941660375,9.48437644708507,1.16227123768324,45.6872746101081,3.0041,59.8770622365368,0.346850081467966
2018,3,0,0,6.83,0.690260651949626,53.3,1.73,0,1,1,0.6,0.381709308136515,9.38668269792927,1.16590529301152,45.690743376343,3.0041,59.6291406754203,0.594771642584494
2018,4,0,0,9.91,1.08624679760332,45.03,3.03,0,1,1,0.6,0.221746745945368,9.23497815815194,1.16320280818891,45.6861590893047,3.0041,59.3101868015909,0.91372551641384
2018,5,0,0,13.7,1.67570940522576,60.12,3.82,0,1,1,0.6,0.0959359943935001,9.00574410331905,1.14772586188984,45.664957970838,3.0041,58.9184639304404,1.30544838756439
2018,6,0,0,16.9,2.23856432581044,59.57,4.44,0,1,1,0.6,0.0313244543343035,8.70836573666482,1.11802601540258,45.6239267242259,3.0041,58.4857429306276,1.73816938737716
2018,7,0,0,18.5,2.53584286492207,73.2,4.65,0,1,1,0.6,0.00881520127364175,8.38334080888242,1.08097166506292,45.5702404655647,3.0041,58.0474681407837,2.17644417722105
2018,8,2.08,0,18.4,2.51701829650327,75.96,3.49,0,1,1,0.6,1.23004518154853,8.92518506162658,1.04415509616357,45.5136078068467,3.0041,59.7170931461854,2.58681917181938
2018,9,0,0,15.3,1.95107327120539,55.74,2.34,0,1,0,1,0.241993723044331,8.50028957758249,1.09680808547625,45.552379754411,3.0041,58.395571140514,3.90834117749075
2018,10,0,0,11.5,1.321422018351,65.84,1.25,0,1,1,0.6,0.12498588098609,8.33346137091274,1.08725859175972,45.5359551479823,3.0041,58.0857609916408,4.21815132636396
2018,11,0,0,7.13,0.725049354203736,58.83,0.69,0,1,1,0.6,0.0869798168672902,8.24331987538809,1.07936457053988,45.5238606391726,3.0041,57.9376249019678,4.36628741603694
